Q53 AKT74 A8 QJ4|AJ984 J8 QT6 K98|KT2 Q95 K754 T52|76 632 J932 A763
AQT73 Q83 KQ Q62|KJ5 AT J874 9853|62 J975 AT952 AJ|984 K642 63 KT74
AK4 A96 JT98 AT4|762 KQJ5 K3 Q987|QJT85 4 A2 KJ632|93 T8732 Q7654 5
AJ3 JT AQ9 QJT42|T97 Q98 JT854 96|K2 K76543 632 K8|Q8654 A2 K7 A753
AK4 95 KJ965 A84|J987 J4 432 T953|Q652 A87632  QJ7|T3 KQT AQT87 K62
T82 K6 AK975 KQ4|Q3 3 QJT84 A9863|K654 AQT87 32 J2|AJ97 J9542 6 T75
KJT8 AK3 KQT3 J8|52 QJT865 85 932|AQ64 974 962 QT7|973 2 AJ74 AK654
J2 AT7 A743 AQ53|A76 Q932 Q52 764|KQT853 K5 96 T92|94 J864 KJT8 KJ8
Q2 KQ843 K64 AK9|KT96 T72 2 JT532|J84 J65 AQJ8 764|A753 A9 T9753 Q8
J76 AT3 AJ93 AQ2|K KJ972 K654 J74|AT982 Q65 Q2 K95|Q543 84 T87 T863
K83 A3 J9654 AKJ|A9765 KQJ52 3 84|QJ4 T96 AT872 65|T2 874 KQ QT9732
J542 AQ62 AQ AT3|T873 987 8763 82|K9 T54 JT54 KQJ9|AQ6 KJ3 K92 7654
AKQ3 KQT6 KT5 T3|854 9 A943 A8765|9762 A87543 J8 Q|JT J2 Q762 KJ942
QJ973 KJ8 AJ7 A2|K85 Q75 93 KQJT8|42 AT643 KQ62 65|AT6 92 T854 9743
KQJT AK83 A3 742|8743 Q QT984 AJ8|A96 76 J65 KQT63|52 JT9542 K72 95
A3 AJ96 753 KQJT|QJ742 852 AJT62 |K KQT74 Q984 652|T9865 3 K A98743
A64 432 AK73 A63|87 Q976 QJ842 85|KQT95 A5 T6 QT92|J32 KJT8 95 KJ74
KJ T72 A96 AKT97|A973 Q KT83 Q653|QT842 AJ853 5 J2|65 K964 QJ742 84
QJ87 AQ3 AT74 K5|T9 JT954 KJ62 72|A654  Q95 AJT943|K32 K8762 83 Q86
AQ6 K5 KQT74 K65|J754 QT9 A96 T72|K3 J64 852 QJ843|T982 A8732 J3 A9
Q75 Q4 A74 AQJ98|J63 865 Q86532 T|A982 K92 KJT 642|KT4 AJT73 9 K753
AKJT3 AKT 93 T72|875 8542 J872 AQ|64 63 AT654 KJ85|Q92 QJ97 KQ 9643
Q83 J96 AJT5 AK4|K65 8 872 QJ9873|AJ2 T7543 Q943 T|T974 AKQ2 K6 652
AK9 J82 QT86 AK7|JT43 AK3 932 953|Q852 T7 KJ54 J82|76 Q9654 A7 QT64
AT8 84 AQJ96 KQ8|J QT953 T842 AT5|Q9765 AJ K753 32|K432 K762  J9764
KJ2 65 AT85 AKT6|74 T973 Q64 9852|T865 A84 K973 QJ|AQ93 KQJ2 J2 743
A6 K863 AQ73 Q42|T753 4 T82 AK863|KJ8 9752 K9 J975|Q942 AQJT J654 T
T84 AQ9 AK952 A9|Q72 T763 87 T852|AK6 542 QT3 7643|J953 KJ8 J64 KQJ
J9532 AK K93 A85|84 QT85 5 J97632|T76 J9643 Q76 KQ|AKQ 72 AJT842 T4
Q73 J52 A96 AKQ6|K AKT94 Q8 JT985|AJ42 Q7 KJT432 3|T9865 863 75 742
K86 A3 AK3 J6532|A9 862 QT952 AQ8|T752 KQJ9 64 KT4|QJ43 T754 J87 97
AT84 A63 KT92 A3|9532 KJ7 6 T9762|J6 T9842 A4 Q854|KQ7 Q5 QJ8753 KJ
AK4 T842 AKQ5 T7|9732 J653 J2 J52|T5 A9 943 KQ8643|QJ86 KQ7 T876 A9
KJ6 AK5 752 KJ82|AQ9732 J7 J3 965|T54 Q42 A964 QT3|8 T9863 KQT8 A74
763 J74 AKQT4 AQ|AKQ2 QT8652 76 8|T5 AK3 J983 T973|J984 9 52 KJ6542
A852 AQ92 K62 AT|JT3 K AQT853 743|KQ7 87 J94 KJ865|964 JT6543 7 Q92
AQJ3 AQ62 K63 76|86542 KJ AQT8 42| T87543  AKQJ953|KT97 9 J97542 T8
AT AJT4 KQ94 J98|J764 K765 T76 T7|K852  J532 KQ432|Q93 Q9832 A8 A65
J82 AQT8 AT76 A2|KT3 32 952 QT953|Q J965 KJ843 764|A97654 K74 Q KJ8
AK3 QT82 765 AQ2|T76 KJ54 JT84 J8|9 A973 A93 T9753|QJ8542 6 KQ2 K64
AK97 KQ3 JT95 AT|865 J42 Q62 Q862|QJ4 AT965 43 J43|T32 87 AK87 K975
QJ5 T7 AJ742 AK5|AK63 J83 Q8 9832|T982 KQ92 KT95 6|74 A654 63 QJT74
AJ6 QJ7 Q763 AJ7|K42 AK86 T82 943|987 9432 AK4 T65|QT53 T5 J95 KQ82
A8 AQ73 KJ5 JT87|Q J62 QT74 KQ963|KT962 K9854 A32 |J7543 T 986 A542
J96 K86 Q5 AKQJ5|Q2 T7543 AK9742 |T53 AQ9 J863 T62|AK874 J2 T 98743
KT97 KQJ AT4 Q53|J43 93 QJ98 K762|AQ62 T62 752 A84|85 A8754 K63 JT9
A8 A86 J8742 AKT|KQT52 542 3 Q954|964 KQT3 AT65 J6|J73 J97 KQ9 8732
743 AK72 K3 AK52|AJ82 65 AQJT7 96|KQT5 Q43 9854 J4|96 JT98 62 QT873
JT6 K64 QJ8 AKQ7|A753 J53 K965 32|9 QT7 AT32 JT954|KQ842 A982 74 86
A2 QT8 KQT AJ963|KJT87 9765 9 Q87|Q9653 K J53 KT54|4 AJ432 A87642 2
Q54 K2 A92 AQ842|JT J63 KQT43 965|K983 AQT7 7 JT73|A762 9854 J865 K
AK73 QJ54 93 AJ9|Q654 2 JT87 KQ54|J2 KT76 AQ6 T832|T98 A983 K542 76
A875 A875 76 AK2|KQ J642 Q43 Q743|J932 KQT9 A98 T6|T64 3 KJT52 J985
AKJ AK2 98 QT974|82 QJ7 J7 AJ8652|Q963 943 K643 K3|T754 T865 AQT52 
Q52 AJ7 KT5 AQ93| 98 AJ8743 T7652|KT43 T52 96 KJ84|AJ9876 KQ643 Q2 
A2 QT873 K84 AQ5|Q963 J952 AT32 2|K874 AK 65 J8763|JT5 64 QJ97 KT94
KQ8 KJ92 K6 AT62|AJ4 T5 T872 KQ85|532 AQ864 J943 9|T976 73 AQ5 J743
KJ32 QJT2 KQ4 KT|6 K975 A63 AJ973|Q875 A863 8 Q542|AT94 4 JT9752 86
J852 KQJ AKT5 J4|Q973 932 J6 AT87|AK4 AT75 87 9532|T6 864 Q9432 KQ6
J64 K852 KQ8 AQ3|83 AJ964 AT2 975|K92 Q 75 KJT8642|AQT75 T73 J9643 
AQJ7 43 AQT4 KJ9|K9542 AK9 96 765|86 T85 KJ83 AT32|T3 QJ762 752 Q84
98 AK53 AK3 KT86|K54 JT42 QT74 73|AT72 86 J652 AJ2|QJ63 Q97 98 Q954
QJ543 AK6 Q85 KQ|7 Q5 AKT74 AT653|AKT9 J83 632 842|862 T9742 J9 J97
A85 AKT7 Q63 K73|Q7 Q32 T74 AQJT2|K932 J95 KJ95 65|JT64 864 A82 984
AK3 J4 KJ76 KQ97|82 A83 AT432 842|975 KT765 98 A63|QJT64 Q92 Q5 JT5
A75 A7 AQ854 K72|8 Q9864 KT6 QJ84|QJT63 KT 72 A965|K942 J532 J93 T3
85 AQJ KJ42 KQ96|72 T973 7653 AJT|AQT64 6 AT8 7543|KJ93 K8542 Q9 82
K83 AK74 A97 J74|Q5 5 QJ6 AKQ9863|AJ7 JT986 K42 52|T9642 Q32 T853 T
KQ95 A643 T5 AK7|72 QJ9 K986 Q953|AT3 KT875 Q73 62|J864 2 AJ42 JT84
AT874 K43 AJ AJ6|6 JT975 862 8743|KJ95 A86 T95 Q95|Q32 Q2 KQ743 KT2
A43 T4 AQ32 AK62|2 Q983 KJT875 T8|KJ7 AJ72 6 J9753|QT9865 K65 94 Q4
A86 T5 AKJ94 KQ3|QT32 AQ92 7653 8|KJ754 K87 82 762|9 J643 QT AJT954
AQJ5 AT74 K4 J64|942 KJ96 QT73 QT|T63 Q5 AJ9652 A2|K87 832 8 K98753
T95 AKJ6 J96 AQ5|A3 T8732 AK32 73|KQ62 Q4 T54 T986|J874 95 Q87 KJ42
K982 AK98 KJ5 QT|7 T762 T97643 72|QT6 Q54 Q2 AJ953|AJ543 J3 A8 K864
82 KJ52 KJ2 AKQ9|KQJ3 A86 963 876|AT T743 Q84 JT43|97654 Q9 AT75 52
A653 KQ85 AKJ 95|J842 A9 954 K762|KQ97 7642 Q82 A8|T JT3 T763 QJT43
AQ AQJ43 942 A92|3 9652 QJT653 K8|JT764 K7 A8 Q543|K9852 T8 K7 JT76
KQ986 985 AQ KQ2|T3 K762 9862 743|542 AJ KJT53 T86|AJ7 QT43 74 AJ95
J86 AT543 AQ5 A9|T52 Q8 JT9432 Q3|AK9 976 76 KJ842|Q743 KJ2 K8 T765
AKJ4 K952 QT KJ8|976 T7 KJ943 AQ6|Q8532 AJ4 A86 53|T Q863 752 T9742
AQ95 K63 QJ2 K83|K8764 T T9875 Q7|2 J742 A43 AJ942|JT3 AQ985 K6 T65
QJ62 K3 K85 AK43|A853 J8 T9763 96|KT4 A72 J42 QJ52|97 QT9654 AQ T87
KT74 KJ9 J7 AKQT|J85 Q8764 52 J84|Q96 T32 KQT83 32|A32 A5 A964 9765
AK853 AJ5 K74 J4|T642 982 A63 QT8|J7 KT43 J85 A765|Q9 Q76 QT92 K932
KQ65 72 J93 AKQ2|J982 QJ9 Q6 T876|T73 AT84 A872 54|A4 K653 KT54 J93
KJ7 KJ5 AKT76 96|AQT2 Q943 J5 A83|865 AT76 Q4 QT74|943 82 9832 KJ52
AQT KJ Q9532 KT9|98 AQT8654 74 76|J6543 932 8 AQ83|K72 7 AKJT6 J542
AK85 QT4 A95 KT2|T62 J62 KJT6 Q53|94 A985 832 A974|QJ73 K73 Q74 J86
T6 AKQJ4 K72 Q85|A832 9872 Q5 J76|QJ75 T53 AJ984 3|K94 6 T63 AKT942
AQT AKT74 J3 J43|J65 Q9 T76 KQ965|K983 J8 AK9842 8|742 6532 Q5 AT72
AJ9 KT73 AQ4 Q74|QT AQJ92 JT8 K53|8754 65 K652 AJ6|K632 84 973 T982
KJ8 QJ7 QJ4 KQ86|62 K9 T952 T7543|QT974 T65 863 AJ|A53 A8432 AK7 92
Q43 A4 JT5 AKQT9|KJ9765 T2 Q763 J|A2 K8765 A842 85|T8 QJ93 K9 76432
K43 AQ84 JT AK95|AJ9862 J65 4 632|T KT2 Q832 QJT84|Q75 973 AK9765 7
AJ864 Q9 AJ4 KQ7|T53 KJ72 Q9 9642|KQ7 A543 T73 T53|92 T86 K8652 AJ8
K7 AKQT Q942 Q98|QJ96 J843 KJ7 A7|AT8 972 86 K6543|5432 65 AT53 JT2
A63 Q3 AT3 KQJ97|T9542 862 J A862|K KT754 Q652 543|QJ87 AJ9 K9874 T
AJ92 AJ J96 A764|743 85 AQ7 KT982|Q65 KQT7 T853 Q3|KT8 96432 K42 J5
AQ86 765 A93 KQ4|9543 T984 JT76 3|KJT 3 KQ854 J872|72 AKQJ2 2 AT965
A876 AQ8 Q62 A53|QJ3 KT6 AT83 KT6|K542 953 J7 QJ94|T9 J742 K954 872
AJ94 K4 AK65 872|8653 AJ976 Q KT3|K7 532 JT87 AJ96|QT2 QT8 9432 Q54
AK K963 JT95 A83|QT852 J75 K6 QJT|J943 Q42 A874 52|76 AT8 Q32 K9764
Q984 AK65 A2 Q87|AJT 3 T9843 AT93|K53 J972 KJ76 J6|762 QT84 Q5 K542
QJ7 K863 T2 AKQT|AKT532 97 K4 J42|6 AJT AQ87653 63|984 Q542 J9 9875
AJ95 KT9 KQ76 Q8|KT J86532 AJ T95|764 Q 98532 AJ62|Q832 A74 T4 K743
A43 AKJ 976 AT76|QT987 6 T854 KJ8|K6 T7542 AJ2 Q42|J52 Q983 KQ3 953
T6 QT864 AKT AKJ|KQ9 975 J86 Q987|A43 A3 7532 6542|J8752 KJ2 Q94 T3
K5 KT3 AQ74 KQ76|AJ82 A75 T632 A4|QT973 Q62 K8 532|64 J984 J95 JT98
AQT53 Q74 A6 KJ9|974 KT832 T2 643|K6 A96 Q7543 QT7|J82 J5 KJ98 A852
AJT KJ53 KQ J732|8754 A2 865 AKQ8|K9632 9864 AJ2 T|Q QT7 T9743 9654
KT3 A4 AJ752 KJ6|J85 KQT T96 Q852|A9 J9765 K3 T973|Q7642 832 Q84 A4
Q8 QJ63 AQ8 A984|9 AKT7 J9752 763|AT7532 52 6 KQJ2|KJ64 984 KT43 T5
965 QJ KQJ98 AQ7|Q72 AKT98 72 KJ8|AT 76542 A543 52|KJ843 3 T6 T9643
QJT54 AJ AT3 KJ3|K832 74 KQ86 976|6 98653 J975 AQ2|A97 KQT2 42 T854
AKQT6 KQ6 952 J5|942 542 AQ76 T43|75 JT87 KJ3 AQ87|J83 A93 T84 K962
QJT6 A9 KQ87 KT3|752 KQ65 J3 A842|K83 8432 AT95 Q5|A94 JT7 642 J976
AJ96 AK82 Q5 QJ8|KT842 Q54 T72 K6|Q3 763 K864 A973|75 JT9 AJ93 T542
AKJ98 A85 A4 764|T3 T764 K95 J853|Q7642 Q3 Q72 KQ2|5 KJ92 JT863 AT9
AQJ8 T5 A92 AT92|KT542 J8 QJ543 5|97 Q973 T87 KQ87|63 AK642 K6 J643
A65 A52 AQT QJ83|J9832 7 KJ82 A97|QT KQ963 9 T6542|K74 JT84 76543 K
AQ74 A93 QT86 A6|JT K8654 4 Q9752|86 7 KJ953 KJ843|K9532 QJT2 A72 T
J732 KQJ3 AK Q93|K954 T974 85 A62|A A652 T9632 J85|QT86 8 QJ74 KT74
AKQJ9 975 QJ QT3|6 A862 9632 AKJ9|87543  AK85 8752|T2 KQJT43 T74 64
A53 A62 Q4 AJ942|QJT72 T43 AK9 53|K8 Q97 753 KQT76|964 KJ85 JT862 8
A2 KQ53 KQ3 KT97|Q9 AJ842 72 6432|JT8654 976 AJ J8|K73 T T98654 AQ5
AKJ85 AJ Q73 984|T97 9732 852 QJ5|Q643 Q65 KJ96 73|2 KT84 AT4 AKT62
QT Q764 AKQ7 Q54|K964 T95 82 AT86|A85 KJ82 T65 J72|J732 A3 J943 K93
AT92 KQJ6 A86 K3|J 7543 KT74 J954|K7643 2 5 AQT872|Q85 AT98 QJ932 6
QJ4 KQJ K5 KQT96|K 7642 987643 J5|987632 AT AJ 832|AT5 9853 QT2 A74
A983 QT AJ2 KQJ2|Q642 A76432 94 6|KT 9 QT876 A9874|J75 KJ85 K53 T53
A64 JT52 KT AK73|QT875 AQ3 Q9 J98|K9 974 A8764 Q62|J32 K86 J532 T54
J75 A983 AK9 QJT|A984 Q654 T 9653|KQ632 2 J87542 K|T KJT7 Q63 A8742
Q82 AKT95 AQ4 32|AJ54 J843 2 KT64|KT Q7 KT985 Q985|9763 62 J763 AJ7
QJ4 A63 J85 AQJ2|973 KJ872 T73 K3|KT652 Q Q9 98765|A8 T954 AK642 T4
8642 AKQ K83 A82|AKJ75 T76 92 K65| J8532 AQ65 QT93|QT93 94 JT74 J74
KT83 JT7 AJ76 AQ|Q75 A8432 85 K42|J 965 KQT4 JT975|A9642 KQ 932 863
QJ8 AK94 J8 KJ84|A752 3 A97 AQ632|K963 JT82 KQ5 97|T4 Q765 T6432 T5
AQ7 QT64 932 AK4|T85 K8 AKJT6 Q65|K3 A732 875 T873|J9642 J95 Q4 J92
K43 AK2 976 AQ43|AJT85 63 QT4 J62|6 QT95 AJ82 T975|Q972 J874 K53 K8
72 AKT6 K54 AQJ3|AJ86 QJ972 T3 T9|KQT94 53 AQ6 875|53 84 J9872 K642
QT9 A4 KJ5 KQ985|863 JT65 7 J7632|J742 K32 Q9432 A|AK5 Q987 AT86 T4
K9 K74 AK75 QJT2|765 AQT3 T43 K54|AQT843 J82 986 6|J2 965 QJ2 A9873
KJ53 KJT4 J2 AQ6|864 76 T63 KJT54|AT72 8532 K9 972|Q9 AQ9 AQ8754 83
K8 AJ632 K95 AQ3|A654 KT85 J87 95|JT92 Q97 T4 KJ64|Q73 4 AQ632 T872
752 AQ94 A3 AQ98|AQT43 J82 J8 643|8 K73 KQT642 JT5|KJ96 T65 975 K72
K6 KT854 A83 KQ6|AT9853 62 J AT93|Q2 AJ973 64 8752|J74 Q KQT9752 J4
K975 A73 963 AKJ|JT4 JT84 AQ5 Q85|8 K2 KJT87 T9432|AQ632 Q965 42 76
AT4 A843 AQ KT32|K875 T97 J87 AQ7|J932 KQJ62 93 J9|Q6 5 KT6542 8654
A84 AJ74 K5 KT64|Q653 5 AJ84 7532|KT72 QT932 92 AQ|J9 K86 QT763 J98
KQ2 AK7 65432 A8|A97654 QJ65 T98 |8 T93 KQJ7 QJ942|JT3 842 A KT7653
K96 AQ92 A83 Q63|Q85432 5 76542 9|AJ7 T8743 KJT9 T|T KJ6 Q AKJ87542
A987 AJ7 K94 A43|J62 K9542 QJ5 86|T4 QT3 A732 KJ95|KQ53 86 T86 QT72
KJT54 A83 KT A82|986 K742 AJ542 J|AQ2 JT96 7 K9653|73 Q5 Q9863 QT74
AQ9 AT5 643 KQ76|K843 KJ64 KQT7 J|T75 87 AJ952 AT9|J62 Q932 8 85432
AJ64 AK KT9 7642|8 QJT832 QJ42 A5|Q95 9764 A83 J83|KT732 5 765 KQT9
AQ QJ3 Q76 AQT43|862 T7 AKT95 J75|9543 AK852 J2 82|KJT7 964 843 K96
AKT63 JT 943 AK8|8 K985 Q762 Q742|54 AQ43 AJ8 T953|QJ972 762 KT5 J6
AQ8 653 K3 KQJ96|43 AKQT QT8542 2|KJ965 8742 96 A4|T72 J9 AJ7 T8753
AKJ94 A74 Q3 Q65|Q2 Q98 K854 9432|853 J52 A976 AJ7|T76 KT63 JT2 KT8
A73 AQJ75 Q64 Q3|K6 9 KJ752 KT752|Q54 K632 AT9 J94|JT982 T84 83 A86
AQ QT54 AJ4 QJ92|T762 K872 KT6 64|K54 AJ93 Q9873 7|J983 6 52 AKT853
A53 Q64 AQ85 QJ9|J98 AK98 KJ2 653|KT2 JT52 9 AT742|Q764 73 T7643 K8
A74 AK92 J73 KQ4|T95 64 AT8 JT852|KQ82 JT853 4 A63|J63 Q7 KQ9652 97
AKJ43 AT6 K72 Q3|T97 9752 Q KJ752|65 J43 AT943 A96|Q82 KQ8 J865 T84
K73 KQ6 Q4 KQJ97|J8652 J9 J93 A54|Q4 A7 AT876 T862|AT9 T85432 K52 3
KQJ94 AKJ J9 765|T7652 T76 K84 82| 842 AQ652 KQ943|A83 Q953 T73 AJT
T64 AK 9764 AKQ2|A9 864 QJ83 9865|Q532 32 AKT5 JT3|KJ87 QJT975 2 74
AT3 KQJT A4 J653|984 83 K873 AQ84|652 A9762 Q62 K9|KQJ7 54 JT95 T72
AKQT3 A4 432 A65|8 QJ762 QT86 T84|J652 3 AK75 K732|974 KT985 J9 QJ9
KJ2 AJ96 AT8 K52|T8764 Q82 KQJ2 3|AQ5 KT753 653 T8|93 4 974 AQJ9764
AT72 Q2 932 AKQ6|J943 A985 QT4 J9|K86 K763 KJ87 32|Q5 JT4 A65 T8754
AK5 852 AQ7 Q642|J973 3 T952 AT75|864 AQJ6 643 J98|QT2 KT974 KJ8 K3
A95 Q63 KQT KJ53|T8642 AK754 2 T9|KQ7 T8 A7643 864|J3 J92 J985 AQ72
Q73 AJ8 AK87 J98|KT9862 6 J92 Q75|A54 QT53 T654 K6|J K9742 Q3 AT432
Q54 K76 A3 AKT95|9832 AQT8542 Q 2|KT J93 KT972 Q64|AJ76  J8654 J873
AT7 AT82 J94 AK3|K9654 643 QT85 6|3 KQ975 K QT9752|QJ82 J A7632 J84
QJ74 K62 AQ4 A87|K9862 JT7 J9 KQ5|AT5 Q9 7532 JT43|3 A8543 KT86 962
T95 A973 AT6 AK9|KJ43 T852 94 742|87 KQJ4 KJ853 J5|AQ62 6 Q72 QT863
764 AKQ7 T95 AQT|93 J8 Q8742 6542|QJ52 42 KJ6 J873|AKT8 T9653 A3 K9
854 K54 AQ AQT96|Q3 J862 J942 K82|AKJ976 97 76 J43|T2 AQT3 KT853 75
A65 8764 A52 AK2|Q743 Q95 K9 QT93|T AJ3 QJ763 8765|KJ982 KT2 T84 J4
QT2 AJ AT73 KJ54|K73 3 654 QT8763|J4 K98652 QJ92 2|A9865 QT74 K8 A9
AJ7 KT A74 QJT97|Q54 AQ32 JT3 854|KT98 9765 Q9 A62|632 J84 K8652 K3
K52 A5 A82 A7652|QJ84 J8 KJ73 QJ3|T6 KQ963 65 KT98|A973 T742 QT94 4
73 843 AKT4 AKJ5|AJT54 AT5 J9 632|KQ862 KJ 875 QT4|9 Q9762 Q632 987
KQ9 AT63 A3 K652|J8742 KJ87 T874 |T3 52 KQ65 QJT83|A65 Q94 J92 A974
AKJ75 832 Q5 KQ8|64 J7 T82 A76543|QT983 AKQT4 3 92|2 965 AKJ9764 JT
A52 AQ76 43 KQ76|K96 K82 KQJ97 T4|QJT74 JT9 A J832|83 543 T8652 A95
Q97 82 AK85 AKJ4|AJT863 943 63 95|K54 JT J974 QT87|2 AKQ765 QT2 632
A962 AKQ8 A6 854|QJ84  Q975 AJ732|KT5 43 K432 QT96|73 JT97652 JT8 K
A92 AT73 J82 AQ9|QT7 K82 Q7643 K4|K85 QJ9 AT5 8732|J643 654 K9 JT65
AQT2 A97 K63 QT3|8 QJ JT942 AK654|K9543 3 AQ87 J72|J76 KT86542 5 98
A43 742 KQ4 AQ83|8762 965 A9 KT64|KQJ KQT83 8763 2|T95 AJ JT52 J975
AK63 Q6 KJ7 QT93|QJ972 KJ9 A42 82|854 A873 T3 AK65|T T542 Q9865 J74
AQ652 AQT 32 A53|K87 9865 KQ96 94|T943 KJ32 54 QJ6|J 74 AJT87 KT872
AKQ52 QJ8 84 AJ4|4 9542 QJ95 Q873|JT3 K3 AK632 962|9876 AT76 T7 KT5
A6 AJ86 753 AQ72|9732 52 AQ842 54|QJT5 K973 J T963|K84 QT4 KT96 KJ8
QJ4 Q2 AK5 KT842|8762 96 QT8742 J|KT93 AK4 J63 963|A5 JT8753 9 AQ75
65 AKJ5 JT9 AQ96|K9873 8763 73 K5|2 Q942 KQ642 J73|AQJT4 T A85 T842
A93 J975 KQ52 KQ|T4 T8 A876 J8632|J62 Q43 JT9 AT95|KQ875 AK62 43 74
KQ9 AJ75 A8 JT82|862 9642 T953 73|AT543 KQT8 76 Q6|J7 3 KQJ42 AK954
KJT32 A7 A84 A43|A75 QJ96 52 QJT6|Q86 KT3 J76 K752|94 8542 KQT93 98
AK AQJT7 JT8 J72|J942 532 AK2 T86|T753 K94 Q76 A94|Q86 86 9543 KQ53
K43 AK8 AT6 QJ53|75 T94 K7532 K72|A9 QJ765 J4 9864|QJT862 32 Q98 AT
K953 A5 AK3 JT84|T86 T874 Q74 965|4 QJ63 9865 KQ73|AQJ72 K92 JT2 A2
863 A6 A53 AKT76|J7 974 87642 QJ4|A54 KJT832 J9 92|KQT92 Q5 KQT 853
AK5 A7632 K8 QJ7|32 KQJ4 AJ9 T542|JT6 T98 QT5 A863|Q9874 5 76432 K9
32 KQ4 K72 AKT86|986 93 QJ9853 J2|KT75 AJT765 4 53|AQJ4 82 AT6 Q974
AQ87 QJ42 A64 QJ|K63 AT765 J T543|J92 K8 K8752 876|T54 93 QT93 AK92
AT7 KQ763 KJ3 K7|QJ643 J2 T865 Q4|K92 AT9 42 JT532|85 854 AQ97 A986
AK72 K2 J62 A532|Q9 AJ4 AQT95 Q64|4 QT765 K8743 KJ|JT8653 983  T987
AJ7 K76 T987 AK8|53 T98542 6 QJ75|QT986 J KJ53 T42|K42 AQ3 AQ42 963
KT86 A874 AQ3 A2|Q75 Q3  QJT98765|A932 KT9 KJ976 3|J4 J652 T8542 K4
AK62 Q75 K3 KQ75|QJ954 T QJT6 932| AJ6432 A974 864|T873 K98 852 AJT
K84 KJ AKJ9 QT82|AQJT963 2 63 AJ7|2 Q98753 Q85 K53|75 AT64 T742 964
A6 K53 AK4 QJ964|QJT32 J86 862 A8|K8754 Q974 QT5 7|9 AT2 J973 KT532
Q43 AK64 AQ53 Q6|J9 Q9752 96 KJT3|AK7 T3 KJT42 875|T8652 J8 87 A942
AT97 J7 AQT7 KQ2|K8 A8642 K54 JT9|QJ KQT53 J93 843|65432 9 862 A765
64 AK4 AKJ86 JT8|A3 JT752 52 A953|KQJ82 Q98 43 K76|T975 63 QT97 Q42
AK42 KT5 A92 J75|J85 987 JT43 AK8|Q6 J3 KQ76 QT932|T973 AQ642 85 64
AQ62 K862 AKT 92|T875 3 86 KQT754| A75 Q75432 AJ83|KJ943 QJT94 J9 6
KQ97 KJ5 QT9 AJ8|T854 QT643 2 954|A63 9872 AJ5 T76|J2 A K87643 KQ32
AJT T4 AJ2 AK963|963 AK73 T86 QJT|K872 J62 KQ74 85|Q54 Q985 953 742
AK95 654 AQ KJ52|QT76 A8  AQ97643|83 KQJ32 KT6542 |J42 T97 J9873 T8
AJ75 A6 K964 KQ8|QT6 QJ852 A53 J7|K432 4 QJ8 AT964|98 KT973 T72 532
QT9 AQT8 KQT3 KT|3 J7532 J7 A9752|A8764 4 9654 QJ6|KJ52 K96 A82 843
853 AQJ K95 AJ98|AK2 T876 Q763 T3|QJ97 43 JT82 KQ2|T64 K952 A4 7654
AJ6 A963 K42 AT8|KQT53 J8 9 Q9642|9 KQ52 Q753 KJ73|8742 T74 AJT86 5
AJ76 A4 K653 K92|32 KQT72 Q8 QT75|KQT985 9 JT9 A86|4 J8653 A742 J43
J43 QT43 AJ2 AK8|AQ9876 J96 3 Q53|T2 AK52 K965 T97|K5 87 QT874 J642
A4 KQJ4 A76 QJ73|985 87632 9 A965|QJT6 AT5 T5432 K|K732 9 KQJ8 T842
92 A976 K96 AKQ4|8763 8 T52 T9762|QJ5 KJT4 QJ873 8|AKT4 Q532 A4 J53
KT8 AQJT9 A54 K3|973 654 JT63 964|2 K82 972 AQJ875|AQJ654 73 KQ8 T2
AQ853 AK7 T5 A96|K74 862 A93 KJ43|J9 Q9 KJ4 QT8752|T62 JT543 Q8762 
AT9 T97 AQ2 AK96|QJ3 A862 64 JT32|842 KQJ43 K95 84|K765 5 JT873 Q75
T82 AK43 J9 AK75|76 T9 T874 JT983|AQJ5 765 Q53 642|K943 QJ82 AK62 Q
A97 AT6 AJ73 QJ9|K652 Q4 KQ8 K854|QJT83 973 T2 A76|4 KJ852 9654 T32
AT86 AK A854 742|94 J765 KJ7 KQT3|QJ752 94 T6 A865|K3 QT832 Q932 J9
AK95 K7 QJ54 Q53|843 Q842 AT98 AJ|QT AJT96 K7632 7|J762 53  KT98642
QJ7 AQ3 A865 Q84|A9643 J87654  A7|85 K K972 KJT962|KT2 T92 QJT43 53
AK8 A9863 T53 AQ|JT9543 42 64 T87|Q7 JT75 K8 K9653|62 KQ AQJ972 J42
J743 A96 J94 AKQ|982 Q52 Q73 9654|KT 87 AT85 JT732|AQ65 KJT43 K62 8
A5 T92 AK98 KJ72| AQ J76432 A9654|Q98643 K73 Q5 83|KJT72 J8654 T QT
QT93 A9 AKT7 QJ5|85 Q864 3 K97642|A42 KJT72 Q952 T|KJ76 53 J864 A83
KQ92 Q4 QT2 AQ97|5 K96 K9874 KJ64|AJ84 T82 A65 T83|T763 AJ753 J3 52
J8 K98 KQJ6 KQT9|T954 QJ76 A73 A8|AK A52 8542 7432|Q7632 T43 T9 J65
Q4 AJ42 KQ6 K542|976 K85 872 JT76|AT853 93 J95 Q98|KJ2 QT76 AT43 A3
J3 KQ8 KJ3 AJT76|872 JT652 754 K4|T65 A93 AT982 Q8|AKQ94 74 Q6 9532
AJ32 KT83 A2 AT7|T765 QJ754 K9 K6|Q A J87643 Q5432|K984 962 QT5 J98
