K643 AKJ J94 KQ3|JT2 85 KT75 T875|AQ5 Q9632 Q832 A|987 T74 A6 J9642
QT8 K43 AJ42 AQ5|K32 AQT65 85 982|AJ 7 KQT9763 KJ6|97654 J982  T743
Q754 AK72 Q5 KQ3|A863 JT6 J864 82|J2 Q K93 AJT9754|KT9 98543 AT72 6
AJ8 AQJT 9732 K9|Q976 943 AT QT85|KT53 862 KQ8 AJ2|42 K75 J654 7643
K85 AQT5 Q65 A96|J32 J876 KT72 72|A9 K932 AJ9 QT85|QT764 4 843 KJ43
KT6 AQ9 JT8 KQ94|AJ875 T5 Q32 A82|2 KJ73 AK96 JT63|Q943 8642 754 75
AK8 T9 A82 KJ853|6532 Q732 Q3 T64|JT K8654 KT54 A7|Q974 AJ J976 Q92
AKJ6 JT6 K4 A864|98754 KQ9873  KJ|T A52 AQJ963 T72|Q32 4 T8752 Q953
84 AQ7 AQJ63 QT9|Q762 T96543 7 43|93 K2 T95 AKJ862|AKJT5 J8 K842 75
KQ86 AQ92 A65 J8|JT9 K84 32 KQ973|A4 JT53 QJ8 AT52|7532 76 KT974 64
KQJ8 T6 A875 AK3|964 53 J963 JT75|A32 AKQ842 QT Q4|T75 J97 K42 9862
87 A8754 AQ5 KQ3|KQJ6542 3 J72 A5|A9 KQT96 KT4 JT7|T3 J2 9863 98642
AT76 AK73 82 KQ3|K94 Q98654 AJ9 T|5 JT2 KQ763 AJ42|QJ832  T54 98765
Q5 AJ7 AJT98 AJ2|T92 Q9865  T8764|KJ87 KT43 K43 K9|A643 2 Q7652 Q53
T62 K4 AKT3 KQ85|J9753 Q87 986 97|KQ AJT3 72 AJT43|A84 9652 QJ54 62
KT KQ96 A732 K72|6 A3 QJ4 QJ98643|AQJ9543 J54 KT9 |872 T872 865 AT5
T3 AQ86 AJ43 AT9|54 J952 Q75 Q863|KQJ872 KT7 K86 7|A96 43 T92 KJ542
K32 T95 AJ93 AK3|Q6 K8732 KT JT98|A974 AQJ Q874 52|JT85 64 652 Q764
K652 K752 K63 AQ|QT987 J8 5 J7532|AJ3 Q JT982 KT94|4 AT9643 AQ74 86
AKT3 T2 QJ9 KQ96|875 6 KT87653 82|QJ6 AJ975 A2 AJ7|942 KQ843 4 T543
J98 AK AQJ6 Q875|AT5 643 K987542 |KQ62 QT5 3 AKJ62|743 J9872 T T943
Q62 KJ943 AQ8 K6|AT9 Q87 632 8432|K8753 5 KJ75 AT9|J4 AT62 T94 QJ75
AKT6 KJT 95 KJ96|72 953 AQ743 873|QJ98 AQ86 62 QT5|543 742 KJT8 A42
K3 AKQ76 T92 KJ6|AQJ7 T9 K63 9732|T852 842 AQJ4 A8|964 J53 875 QT54
Q52 AK2 KJ82 Q63|6 T8653 6543 AT8|AKT94 94 A9 J975|J873 QJ7 QT7 K42
A7 KJ86 AKQ6 432|98652 A3 J97 J75|KQ3 T7 T852 AQ86|JT4 Q9542 43 KT9
JT8 AKQ5 KJ32 K9|Q932 63 A96 Q853|AK T842 75 A7642|7654 J97 QT84 JT
92 A87 AK87 KJ64|AK743 6 Q64 QT53|Q KJ5432 JT2 A82|JT865 QT9 953 97
AK4 AQ942 K53 65|J65 KT75 96 QJ32|87 J8 AQJT84 K98|QT932 63 72 AT74
KJ762 KQ9 K7 AT5|AQ3 JT852 Q52 32|T9 A7 A94 QJ9864|854 643 JT863 K7
AQJ4 Q72 KJ98 K5|9732 K4 742 AT93|K J93 AQ53 QJ864|T865 AT865 T6 72
A95 9873 KQJ3 AQ|T76 QT2 A9864 86|Q3 AK654 T2 KJ95|KJ842 J 75 T7432
KQ AQ72 QT72 QJT|J8 9854 AJ964 42|A976 K63 K3 AK85|T5432 JT 85 9763
T763 AJ76 AQ8 AQ|AK2 9532 K65 832|QJ85 KT J43 KJ65|94 Q84 T972 T974
KQ K975 K543 A74|JT AJT43 J87 Q82|A943 Q82 AQ96 93|87652 6 T2 KJT65
KQJ 94 A643 KQ93|8542 A85 QJ95 74|7 K32 KT72 AJT82|AT963 QJT76 8 65
AJ43 T94 AKJ A73|97 85 QT9832 QJ2|KQ2 AJ73 76 KT64|T865 KQ62 54 985
KJ2 Q87 AQJ KT65|QT863 KJ4 K642 4|A75 A963 T AQJ98|94 T52 98753 732
AJ9 AQ87 A75 QT7|QT6 J2 86 AJ8632|K8 K65 Q432 K954|75432 T943 KJT9 
Q2 AJ87 AK82 KT8|8764 K4 J643 542|AK95 Q95 9 QJ973|JT3 T632 QT75 A6
AQ842 976 KT4 AK|JT5 J5432 A3 653|6 AKQ8 Q75 Q8742|K973 T J9862 JT9
KQ AT86 AQ52 873|T74 972 KT874 Q4|A962 3 963 AKT92|J853 KQJ54 J J65
A4 AJ86 KQJ7 T74|T83 K954 T842 KQ|KQJ72 Q732 A J83|965 T 9653 A9652
J542 KJ AQ87 AT4|873 A83 J95 Q532|KQT6 QT97 KT J87|A9 6542 6432 K96
AK864 A6 Q97 AT5|T2 K7542 842 Q42|J7 JT8 AKJT6 J76|Q953 Q93 53 K983
A93 J94 AK83 K75|QJ876  QT74 AQ62|52 AKQ865 J65 J8|KT4 T732 92 T943
AQ T975 Q74 AK96|T643 643 K932 J3|J752 K2 AJ8 QT42|K98 AQJ8 T65 875
AJ54 J9 A643 AJ6|Q QT6 QJT72 Q873|KT98732 K543 K K|6 A872 985 T9542
A7 AQ9 Q42 AT864|964 T53 853 KJ72|K85 8762 AKJ6 Q5|QJT32 KJ4 T97 93
AJT4 A6 AKT3 T76|8652 T9753 J95 9|73 K82 862 AKQ54|KQ9 QJ4 Q74 J832
AK2 AK832 K54 62|QT5 654 2 QT9754|J84 JT97 AQJ86 A|9763 Q T973 KJ83
AJ K8542 KJ3 KT5|9862 T763 A987 7|KT74 9 Q AQJ6432|Q53 AQJ T6542 98
AKT6 Q932 QT7 A7|J832 J4 A9643 Q8|95 AK76 K85 KT32|Q74 T85 J2 J9654
KT87 A5 AQ42 QT5|A654 T92 KJ86 73|QJ92 Q86 T5 AK82|3 KJ743 973 J964
Q84 AQT5 KJ4 KJ9|JT52 842 8653 A6|AK976 J976 A9 Q7|3 K3 QT72 T85432
AJ6 QT8 A9764 A6|T74 64 KT QT9842|KQ952 KJ75 Q5 73|83 A932 J832 KJ5
KJ9 AT7 K9652 KJ|8632 KQ8542 Q7 5|AT54 J6 AT43 Q43|Q7 93 J8 AT98762
AK43 T3 AQJ8 J82|JT76 762 K62 A63|Q95 AKJ94 T73 KT|82 Q85 954 Q9754
J742 A4 KQ4 AQ97|QT6 QJT832 T8 T8|98 K7 A62 KJ5432|AK53 965 J9753 6
KQ54 AJ9 Q6 AT54|96 T6 J9732 J962|AJ87 Q8752 K4 K3|T32 K43 AT85 Q87
KJ KQ74 QT7 KQ43|752 A83 K86542 2|AT94 T62 AJ3 A86|Q863 J95 9 JT975
A2 874 AQT2 KQ84|QT4 JT 986 A7632|K6 AKQ962 J5 T95|J98753 53 K743 J
QT8 KQJ93 JT AK8| T842 A8754 JT54|AJ9743 A5 K2 Q32|K652 76 Q963 976
J32 KJ5 Q3 AKQT5|QT9854 9 J752 98|K AQ82 A9864 763|A76 T7643 KT J42
AQ4 A97 Q98 KT76|K9853 J5 T7652 2|J6 QT6 AJ43 QJ54|T72 K8432 K A983
K42 AKJT9 J8 A75|AQ985 82 T7 Q864|T7 6 AKQ9653 K93|J63 Q7543 42 JT2
J87 AT5 AK8 AT94|K542 J72 JT9 Q63|AT9 K94 Q32 KJ82|Q63 Q863 7654 75
AQT 632 KQJ AJ92|853 KT84 T95 KT4|KJ AJ9 A76432 65|97642 Q75 8 Q873
AQ8 AQ97 K5 J975|KT962 T84 T72 64|J73 J53 AQJ83 A3|54 K62 964 KQT82
AK9 A6 A92 QT853|QJ853 J872 863 7|T4 KQ94 QJ54 AK2|762 T53 KT7 J964
KQ95 K54 JT42 AQ|8762 J632 653 76|A43 9 AKQ8 JT532|JT AQT87 97 K984
QT3 AJ AQT54 A53|4 75 98763 KQT96|AKJ965 K932 J J2|872 QT864 K2 874
QJ7 AK5 A85 Q872|A9864 T732 T9 JT|T2 QJ64 KQ76 K64|K53 98 J432 A953
T98 AK AT93 AT83|AJ643 QJ6 J8 J64|KQ72 2 KQ752 K92|5 T987543 64 Q75
AT5 AJ7 AT2 K743|K8 K963 J865 QJ5|QJ962 QT K7 AT62|743 8542 Q943 98
63 AK8 KQ932 KJ9|KT74 643 J4 AT62|AQ82 J975 A7 753|J95 QT2 T865 Q84
AKT8 A65 A962 76|Q742 QT T543 AT2|96 K987 KJ KQJ95|J53 J432 Q87 843
Q74 T42 AQ2 AK53|AJ853 J7653  Q84|K KQ KJT9863 J96|T962 A98 754 T72
82 AQJ2 AKQ6 T86|Q9 98654 T83 QJ3|JT65 K73 742 AK2|AK743 T J95 9754
AKT94 Q87 K98 KJ|65 AJ2 T764 AQ42|QJ873 K93 AQ3 73|2 T654 J52 T9865
AJ92 AK5 J86 A97|T63 T864 QT54 T5|K8754 Q3 AK732 J|Q J972 9 KQ86432
AQ96 K7 A65 KT62|T Q9654 Q84 Q853|K8532 J82 K A974|J74 AT3 JT9732 J
73 A43 AK5 KJT52|J5 Q975 J942 Q93|A42 KJ86 Q73 A84|KQT986 T2 T86 76
QT7 K92 AQT3 AJ8|54 QT74 752 Q972|AJ632 J8 K96 K65|K98 A653 J84 T43
AKQ7 64 K74 QJ43|52 JT9872 A982 T|643 AQ5 QT3 A875|JT98 K3 J65 K962
KQJ2 754 QJT7 AQ|653 T86 642 9876|T987 AJ3 A8 KJ52|A4 KQ92 K953 T43
A76 KQJ64 AT2 J2|Q95 932 87643 73|T843 A8 KQ K8654|KJ2 T75 J95 AQT9
KQ2 AKJ2 43 K542|A764 T876 T7 A97|J5 Q5 AKJ62 J863|T983 943 Q985 QT
AT93 AQ65 KQ2 52|KQ72 KT7 964 JT9|85 J983 A873 AQ8|J64 42 JT5 K7643
K54 AQ6 QJ85 A96|J987 J97 73 QJ74|A63 K8432 K9 KT2|QT2 T5 AT642 853
952 KJT5 A96 AKJ|Q86 Q963 832 T64|AKT4 A42 KT7 Q95|J73 87 QJ54 8732
Q932 AK2 65 AK92|J74 986 QT9 QJ73|865 QJ4 AKJ842 8|AKT T753 73 T654
T43 AQ KJ9 KQ964|K7 853 A842 A532|AQ98 KJ974 Q7 T8|J652 T62 T653 J7
QJ KQ4 J84 AK986|T874 AT98 AKT93 |AK96 J6 Q52 QJT3|532 7532 76 7542
AKJ9 K76 J72 KQ9|QT85 8 A96 86542|7643 AJ5 KT43 AJ|2 QT9432 Q85 T73
A4 K82 AJ92 AT86|83 Q96 8543 KQ75|QJ752 AJ7 QT6 J9|KT96 T543 K7 432
A75 AQT4 A52 K63|KT98 J86 86 9872|QJ2 5 KQ743 AJT5|643 K9732 JT9 Q4
AQ5 A32 A75 K753|3 QJT85 T2 AT986|KT72 K64 KJ4 QJ2|J9864 97 Q9863 4
K87 KQ3 AT A9642|QT96 T98762 Q J7|J5 AJ K987652 KT|A432 54 J43 Q853
K4 A942 AQ65 QT2|J9 T J9732 KJ953|AT83 KJ6 T8 A864|Q7652 Q8753 K4 7
KQJ3 A7 AK98 842|T QJT942 52 J976|A4 K86 QT7643 KQ|987652 53 J AT53
KT J8743 KQ3 AK4|Q8 T62 AT752 Q63|A754 AKQ 86 T875|J9632 95 J94 J92
AQ62 Q4 KQ42 K82|J543 JT7 JT7 AT4|K7 AK982 53 J765|T98 653 A986 Q93
A4 KQJ72 973 AQJ|T5 864 T84 T9864|J732 AT53 KQJ 73|KQ986 9 A652 K52
T94 A76 AK3 KJ62|A862 QT84 T5 Q53|KQ73 KJ9 Q42 T97|J5 532 J9876 A84
AK742 AKT Q93 JT|3 Q854 876 Q9865|QJ98 J93 A54 K43|T65 762 KJT2 A72
A9 AT652 KJ4 AJ7|52 Q43 Q932 Q985|KQT8 KJ9 AT8 T62|J7643 87 765 K43
A2 T873 AK97 KQ7|KJT864 5 J82 AJ9|973 AKQ Q43 T852|Q5 J9642 T65 643
AJ5 7654 AK75 KT|T86 J9 QJ943 J72|K973 AQT832 8 AQ|Q42 K T62 986543
KT9 AJ AQ2 JT852|85 T864 JT83 K43|AQ K97532 974 Q7|J76432 Q K65 A96
942 QJ AK97 AJ43| AK762 QT863 KT6|AKQJ65 954 2 Q98|T873 T83 J54 752
QT3 AKT7 AK65 76|9 J632 JT AT8543|AKJ842 Q 832 KQJ|765 9854 Q974 92
AJ AJT3 KJ53 Q86|Q7643 Q985 T98 T|52 K62  AKJ75432|KT98 74 AQ7642 9
Q7 AT8 AK6 Q8764|KJ9 KJ6543 5 JT3|A42 Q97 JT9842 A|T8653 2 Q73 K952
AQ94 A9 A52 QJ97|J52 QT76 T643 T3|K8 KJ432 K98 A42|T763 85 QJ7 K865
AK84 J872 AK T86| KQ54 JT987654 J|QJ53 A Q2 AK7543|T9762 T963 3 Q92
96 AKQT7 K84 KJ7|JT53 65 J65 AT93|K74 92 AQT92 Q65|AQ82 J843 73 842
Q832 AJ9 KJ A743|JT Q874 A86 JT85|AK9 6532 QT KQ62|7654 KT 975432 9
K93 A9843 QJT KQ|7 JT 98762 T8643|AQ4 K752 A A9752|JT8652 Q6 K543 J
Q72 A9 KQJ72 K42|KJT9643 7 943 T8|A KQJT42 T8 AQ76|85 8653 A65 J953
AT5 J9 AQ2 KJ965|Q732 Q743 T8 742|964 A86 K943 A83|KJ8 KT52 J765 QT
T9743 KJ6 AK2 A9|85 A753 9843 QT4|AQ2 942 Q75 K872|KJ6 QT8 JT6 J653
AQ KJT43 Q64 K95|9743 62 A753 Q74|86 A7 KT82 AT863|KJT52 Q985 J9 J2
J8 AQ842 Q54 AQJ|QT5 KT5 T3 T9862|K62 6 AKJ986 K54|A9743 J973 72 73
KQ7 J53 KT9 AQT5|9865432 2 73 972|AJ QT74 A862 J83|T AK986 QJ54 K64
AQ J73 QJ642 KQ4|KJT6 KQ65 T5 J87|97542 A842 AK3 T|83 T9 987 A96532
AJ AQT T85 AT875|983 J9843 Q92 K2|Q7642 K52 AK6 43|KT5 76 J743 QJ96
Q4 KT962 AJ4 AQ3|T652 Q85 Q92 874|A98 AJ74 K863 K5|KJ73 3 T75 JT962
KQT83 KQ8 62 KQ6|654 J96 75 J9842|A7 A7543 AJ84 A3|J92 T2 KQT93 T75
AJ85 KQ76 84 AJ3|K7 AT9854 Q976 8|Q93 J3 AK2 KT652|T642 2 JT53 Q974
96 A75 AJ2 AK985|AQ8752 K986 4 J2|K4 QJ32 KT98 QT7|JT3 T4 Q7653 643
A86 AQ98 AQ75 T2|QJ75 K6542 962 A|K432 JT73 K KJ53|T9  JT843 Q98764
Q93 AJ5 A74 AQ82|KT4 K9874 KJ9 95|AJ852 Q32 QT3 KJ|76 T6 8652 T7643
QJ4 Q53 AQ6 A542|A875 7 T95 KJT93|932 AKJ84 K74 76|KT6 T962 J832 Q8
A42 J53 A942 AQ7|KQJT987 6 Q7 953|3 AK974 KJT J642|65 QT82 8653 KT8
AKQ8 432 K62 K96|JT9632 T85 985 7|75 AQ976 QT AJ85|4 KJ AJ743 QT432
QJ94 KJ76 J6 AK8|A53 542 73 J5432|K872 AT3 AQ54 T6|T6 Q98 KT982 Q97
AQ52 A96 A5 J963|KT743 Q J642 872|J86 KJ854 K7 K54|9 T732 QT983 AQT
Q42 AK85 A64 QT6|983 J2 J872 K843|AKJ7 9764 K5 952|T65 QT3 QT93 AJ7
AT9 83 AKQ2 AT62|J87643 T52 T754 |KQ52 AK76 9 KJ75| QJ94 J863 Q9843
A86 KQ5 KT94 A94|93 JT4 QJ8 JT762|K72 73 A7532 KQ3|QJT54 A9862 6 85
AKQ2 Q652 A3 732|J953 KJ73 65 KJ4|6 AT98 K87 AT965|T874 4 QJT942 Q8
KT9 K86 A92 AQ86|AQ54 T9 KJ3 JT94|J7 AQJ5432 4 K53|8632 7 QT8765 72
KJ8 J6 AQ3 AQT75|AT954 Q3 J64 J64|Q72 AK974 T5 K32|63 T852 K9872 98
AQJ KT7 K62 A652|92 J432 QJ843 J3|T8743 AQ5 A95 KQ|K65 986 T7 T9874
KJ93 AK2 T64 KJ3|86 J76543 AK Q95|AQ74 Q QJ9872 72|T52 T98 53 AT864
AK6 JT964 AK4 Q9|J952 Q2 T75 AJ43|Q8 AK87 Q9862 T8|T743 53 J3 K7652
AQ QJ752 AT6 K42|K974 9 9852 Q753|JT52 AKT4 KQ4 A8|863 863 J73 JT96
32 AKQT K987 KJ6|6 J943 AQ643 T85|AK7 85 T5 AQ7432|QJT9854 762 J2 9
Q4 AQ98 A872 QJ2|AT962 T7 K53 A75|KJ83 KJ4 Q6 K643|75 6532 JT94 T98
K63 KQ762 K97 A6|854 JT985 T54 K4|AJT92  A863 Q532|Q7 A43 QJ2 JT987
QJ KQJ6 AQ5 8653|64 AT9852 82 QT9|AKT9753  K96 AJ4|82 743 JT743 K72
AQ7 KQJ42 KQ2 42|JT9864 973 A54 8|K3 AT86 T3 AKQJ9|52 5 J9876 T7653
AQ9 KJT53 A2 J73|8643 987 K6 KT82|KT2 A4 QJT97 A65|J75 Q62 8543 Q94
AQT42 AK9 A53 43|6 T432 KQJ982 85|J5 8 T6 AKQJT976|K9873 QJ765 74 2
AKT98 K94 AQT 96|76 J83 873 K8753|Q3 QT762 96 AQJ4|J542 A5 KJ542 T2
A3 T76 AQ873 AJ2|QJ9762 42 KJ65 Q|T85 AKQ98 92 K87|K4 J53 T4 T96543
AK83 A864 J7 KT9|T4 QJT7 95 AQJ54|QJ762 K52 AKQ2 7|95 93 T8643 8632
K52 J73 KQ AKJT3|QT74 6 AT87532 6|A986 AK52 J6 Q75|J3 QT984 94 9842
AK7 K7543 Q87 K6|J32 QT2 T632 T85|Q864 9 AK QJ9742|T95 AJ86 J954 A3
QT83 AQ43 AK 873|96 875 QT9742 JT|AKJ42 K 85 K9654|75 JT962 J63 AQ2
A73 AK85 Q2 Q832|QT T93 J8 KJT764|K9 J762 KT95 A95|J86542 Q4 A7643 
874 AK75 J86 AK8|K J9864 A92 T973|AQT65 2 KQT4 J52|J932 QT3 753 Q64
AT2 KQT3 K7 A964|QJ9843 J82 JT 82|K5 A654 986 KJ75|76 97 AQ5432 QT3
A853 AJT Q765 AT|97 K632 AJT2 965|KJT4 Q85 K KQJ84|Q62 974 9843 732
98 QJ3 AKQ5 KJT6|A5 T9765 942 A72|Q742 AK8 JT83 Q5|KJT63 42 76 9843
AQ3 864 AK72 Q64|K76 T97 9853 KJ7|92 AKQ2 J64 AT32|JT854 J53 QT 985
KJ92 AJ32 QJ3 K5|QT863 754 752 82|4 K86 AT98 AQT97|A75 QT9 K64 J643
AT52 AJ83 KQ Q72|74 T762 8653 K93|KQ9 K9 AJT94 A64|J863 Q54 72 JT85
AJ7 KJ92 K93 K52|Q985 T J652 Q643|KT4 Q76 QT4 A987|632 A8543 A87 JT
AJT A6 643 AKJ85|K6 KJ9874 T7 Q96|Q83 T5 AKQ9852 3|97542 Q32 J T742
QJ A753 AKJ5 976|9752 JT8 T83 QT2|KT63 Q42 Q974 AK|A84 K96 62 J8543
AJ J96 Q63 AKJ97|Q982 A5 JT842 65|654 KQ4 AK75 Q32|KT73 T8732 9 T84
K3 863 KQJT4 AQ3|J52 J75 8762 942|987 K4 A3 KJ8765|AQT64 AQT92 95 T
AKJ6 J982 K2 KJ4|T843 Q6 J9753 85|972 K4 Q84 AQT96|Q5 AT753 AT6 732
A42 J9 J763 AKQ9|KQT853 T T42 J43|J76 AK6432 AKQ5 |9 Q875 98 T87652
KQ8 T874 KQ87 AJ|A9543 Q3 JT32 43|T62 AJ6 A6 QT865|J7 K952 954 K972
AQJ53 985 AT5 AT|98764 32 Q74 J84|K2 AKJ4 9832 K95|T QT76 KJ6 Q7632
A2 A92 AKQ94 643|9764 5 T653 AT85|KQJT83 K8 82 KQ2|5 QJT7643 J7 J97
A5 AQJ7 KJT6 953|KT97643 T85 4 Q2|Q8 964 A9732 AJ6|J2 K32 Q85 KT874
KJ4 A75 J954 AQ9|Q6532 T6  JT8643|A K8432 QT873 K5|T987 QJ9 AK62 72
AQ83 AK9 Q74 JT7|42 QT542 T92 KQ5|KJT5 J76 AK A842|976 83 J8653 963
AKQ7 KJ5 T9 A972|9862 Q87 AKQ74 4|JT3 A J65 KQT865|54 T96432 832 J3
A985 A8 A73 K753|KT4 KT9632  QT98|QJ6 Q54 KT54 AJ2|732 J7 QJ9862 64
A953 AK Q986 Q97|642 Q843 A74 T53|KQJ7 JT7652 JT K|T8 9 K532 AJ8642
AK83 Q53 AQ92 93|Q94 JT4 KJ3 QJ54|JT752 AK987 T4 A|6 62 8765 KT8762
J96 AK6 QT8 AK63|82 JT9842 4 QJ52|AKQ 7 KJ975 T987|T7543 Q53 A632 4
QJ3 K9 KQJ53 AJ9|954 Q764 4 76432|KT7 A8532 A2 K85|A862 JT T9876 QT
Q8543 AQT KQ2 K9|62 865 T73 AQT42|K7 KJ9 AJ984 J63|AJT9 7432 65 875
64 AT2 A84 AK654|T73 KQJ986 T72 9|AQ852 73 KJ6 JT8|KJ9 54 Q953 Q732
AK A763 Q92 KJT4|JT974 KQ82 3 875|853 54 AKT84 AQ3|Q62 JT9 J765 962
KJ9 752 Q5 AKQJ8|Q5432 K63 J43 72|AT AT84 AT872 63|876 QJ9 K96 T954
AT54 KQ3 KJ Q872|J9862 T5 QT864 9|K73 A862 9752 A5|Q J974 A3 KJT643
87 KT7 AK52 AQ32|9642 86 QT87 K85|AKQT AQ93 643 J7|J53 J542 J9 T964
K753 AT5 AK Q987|T4 98643 J64 JT3|AJ82 Q7 T8532 A6|Q96 KJ2 Q97 K542
AQJ8 A82 J6 AT63|932 T974 Q32 742|K5 K5 AKT754 Q85|T764 QJ63 98 KJ9
AT7 K872 QJ8 AJ3|K9543 AQ6 3 7542|Q J94 A9762 KQT6|J862 T53 KT54 98
83 AQ62 AK9 Q983|6 K9543 JT7 AT42|AKQ974 T7 Q642 5|JT52 J8 853 KJ76
KQ52 AQT3 T98 A4|T87 K4 AJ64 KQ72|AJ93 92 KQ75 J86|64 J8765 32 T953
Q5 AQJ87 A82 K93|T42 K96432 T 864|AK9763  94 AJ752|J8 T5 KQJ7653 QT
AT54 Q2 KQ4 AJ74|62 K5 A985 T9652|KQ9873 AJT7 J3 K|J 98643 T762 Q83
A84 K94 AK942 J9|KT96 T632 J65 K4|52 AQJ7 Q A87632|QJ73 85 T873 QT5
Q9 AQJ 865 AQ432|J6 T9632 QT32 K8|AT843 8 AKJ4 JT5|K752 K754 97 976
Q965 K8 AK82 K52|A732 T964 J T964|KJT J7 Q63 AQ873|84 AQ532 T9754 J
J4 A52 A982 AK76|K62 J9874 7643 2|QT83 K KQJT5 943|A975 QT63  QJT85
AQT 64 AQJ9 Q754|J32 AT5 KT743 J3|64 KQJ8 852 AKT9|K9875 9732 6 862
AJ8 J2 QJ54 AK32|QT972 T64 98 T97|K4 A97 A7632 Q84|653 KQ853 KT J65
A843 AQJ8 Q2 KJ3|JT952 T743 KT 98|K7 K96 A964 AQ75|Q6 52 J8753 T642
A76 K4 KQ865 K87|T4 AQT73 J42 642|KQ98 J96 AT9 J53|J532 852 73 AQT9
AKJ5 65 AQT5 J85|942 Q9 98742 T43|T86 KJ8 KJ6 AK72|Q73 AT7432 3 Q96
KT7 KQ72 AK7 972|84 954 Q9542 KQ3|AJ632 J63 86 AJ8|Q95 AT8 JT3 T654
K732 AK KT6 QT83|T854 J8653  AJ75|QJ QT4 AQ75 K962|A96 972 J98432 4
A64 AT5 Q54 AQJ3|KJ92 J32 T73 954|83 KQ9 A962 KT86|QT75 8764 KJ8 72
AKJ73 T82 KQ K63|Q64 754 J976 Q87|T95 AJ AT83 AT54|82 KQ963 542 J92
AKJ K654 T43 AT8|Q72 JT873  KQ976|T865 Q9 AKQ86 J5|943 A2 J9752 432
QT3 AQT7 K6 A654|854 J8653 5 KT82|KJ2 K2 AJ32 QJ97|A976 94 QT9874 3
Q85 A7 AJ954 A42|T974 J83 876 J96|J62 KQT94 KQT QT|AK3 652 32 K8753
AK86 K864 AQ2 87|752 532 KT853 A3| AQJ9 J974 KT952|QJT943 T7 6 QJ64
QJ3 K96 K54 AQ42|7 AQJ432 9632 K3|AT9862 T5 AQ7 J9|K54 87 JT8 T8765
97 AQJ Q7653 AQJ|T85 T762 T982 53|AQ63 53 AKJ T872|KJ42 K984 4 K964
84 KQ97 AQJ QJ75|A953 T864 T7 983|QJT 3 K982 AKT64|K762 AJ52 6543 2
854 AJ AQJ6 AJ32|73 K865 K987 T87|AKJ62 QT73 42 Q6|QT9 942 T53 K954
Q9864 AK K53 KT3|AJ53 T76 T72 872|KT J985 AQ4 A654|72 Q432 J986 QJ9
AKJ8 K982 A7 Q74|9764 AJT6 6 T632|532 Q5 KQ85 AK98|QT 743 JT9432 J5
AKJ62 AJ3 K7 942|T954 QT8 Q9654 K|87 K92 AJ83 QJ85|Q3 7654 T2 AT763
962 QJ8 KQJ4 AK2|J875 A6 985 QT65|K4 K75432 AT2 J4|AQT3 T9 763 9873
KJ6 965 AK53 KQT|QT753 QT2 T2 763|A984 AK84 94 J85|2 J73 QJ876 A942
KQ82 JT5 J82 AKJ|9654 943 74 5432|T7 AKQ7 KQ96 987|AJ3 862 AT53 QT6
A63 T54 A765 AK6|JT7 987 KT94 874|5 AKJ63 J832 Q53|KQ9842 Q2 Q JT92
K97 K862 AQ K874|Q52 QJ9 KJ873 T5|AT63 AT743 4 QJ2|J84 5 T9652 A963
J72 AQJ6 QJ AJ86|9863 KT9 K763 T3|KQ 432 AT954 KQ2|AT54 875 82 9754
KQ7 KQ3 AQ6 9764|T6432 A8765 J5 2|AJ T942 KT83 AKT|985 J 9742 QJ853
AQ A842 J74 AJT4|87542 5 KT9652 8|KJT6 JT9 A KQ973|93 KQ763 Q83 652
AK98 K6 AT65 K86|Q76543 Q842 4 43|T2 93 KQ8 AQT952|J AJT75 J9732 J7
KQ842 AK6 Q96 J7|J753 2 J32 QT643|A9 8743 AKT8 K52|T6 QJT95 754 A98
JT8 K62 AQJ82 AQ|KQ532 87 95 J643|A96 JT543 K73 K5|74 AQ9 T64 T9872
Q54 QJ875 KQ3 AQ|T T64 AT94 K8763|K872 AK3 J872 T2|AJ963 92 65 J954
75 AQ2 AT4 AKT84|32 KJ8 KQ9763 52|AKQJ84 94 J8 963|T96 T7653 52 QJ7
KT5 QJ75 A32 AK5|Q73 32 Q9 J98732|A864 AK64 J85 T4|J92 T98 KT764 Q6
AK743 KQ2 J6 Q64|T5 AJ74 Q94 JT87|Q T6 AKT832 K532|J9862 9853 75 A9
KQ43 QJT6 KQ9 QJ|97 K8742 J6 K843|AJT8 3 AT75 A952|652 A95 8432 T76
Q9 AK2 J52 AJ932|652 J943 987 QT4|KJT74 Q AQT K865|A83 T8765 K643 7
JT QJ43 A87 AK98|875 KT872 QT2 J2|AK9643 A965 J9 4|Q2  K6543 QT7653
642 AKQ73 J4 KQ9|KT73 954 QT J763|AQJ5 J6 K873 A85|98 T82 A9652 T42
953 AKJT T82 AQJ|8764 Q72 J65 T97|AQJT2 954 AQ943 |K 863 K7 K865432
AKT76 AT A96 973|J95 62 QJ53 KJT8|Q432 K3 KT2 A542|8 QJ98754 874 Q6
AT985 AK QT3 A75| QJ9543 J762 843|KJ732 T2 K KQJT2|Q64 876 A9854 96
AK42 QT8 AQ87 85|876 9642 532 K62|Q3 AJ3 KJT96 T73|JT95 K75 4 AQJ94
K74 T53 AK95 AQ8|AQT K6 T8762 T54|85 AQJ9874 3 KJ7|J9632 2 QJ4 9632
KQJ6 KJ5 Q95 AJ9|T94 Q8763 T73 K2|72 A9 AK42 Q8754|A853 T42 J86 T63
